time,faces_092,faces_093,faces_094,faces_095,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,1.0,2.0,0,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
0.5,1.0,2.0,1,1.0,1.12,0.9,543.0,1323.0,Spatial/VR
1.0,1.0,2.0,1,1.0,1.17,0.93,543.0,1323.0,Spatial/VR
1.5,1.0,2.0,1,1.0,1.19,0.95,543.0,1323.0,Spatial/VR
2.0,1.0,2.0,1,1.0,1.2,0.96,543.0,1323.0,Spatial/VR
2.5,1.0,2.0,1,0.0,1.17,0.93,543.0,1323.0,Spatial/VR
3.0,1.0,2.0,1,0.0,1.14,0.91,543.0,1323.0,Spatial/VR
3.5,1.0,2.0,1,1.0,1.16,0.92,543.0,1323.0,Spatial/VR
4.0,2.0,2.0,1,1.0,1.19,0.93,543.0,1323.0,Spatial/VR
4.5,2.0,2.0,1,1.0,1.23,0.94,543.0,1323.0,Spatial/VR
5.0,2.0,2.0,1,1.0,1.27,0.96,543.0,1323.0,Spatial/VR
5.5,2.0,2.0,1,1.0,1.3,0.96,543.0,1323.0,Spatial/VR
6.0,2.0,2.0,1,1.0,1.32,0.96,543.0,1323.0,Spatial/VR
6.5,2.0,2.0,0,1.0,1.32,0.94,543.0,1323.0,Spatial/VR
7.0,2.0,2.0,0,1.0,1.32,0.92,543.0,1323.0,Spatial/VR
7.5,3.0,2.0,1,1.0,1.4,0.94,543.0,1323.0,Spatial/VR
8.0,2.0,2.0,0,1.0,1.42,0.94,543.0,1323.0,Spatial/VR
8.5,2.0,2.0,0,1.0,1.42,0.92,543.0,1323.0,Spatial/VR
9.0,1.0,2.0,0,1.0,1.38,0.9,543.0,1323.0,Spatial/VR
9.5,1.0,2.0,0,0.0,1.3,0.86,543.0,1323.0,Spatial/VR
10.0,1.0,2.0,0,0.0,1.23,0.82,543.0,1323.0,Spatial/VR
10.5,1.0,2.0,0,1.0,1.18,0.8,543.0,1323.0,Spatial/VR
11.0,1.0,2.0,0,1.0,1.12,0.78,543.0,1323.0,Spatial/VR
11.5,1.0,2.0,0,1.0,1.1,0.78,543.0,1323.0,Spatial/VR
12.0,1.0,2.0,0,1.0,1.08,0.78,543.0,1323.0,Spatial/VR
12.5,1.0,2.0,0,1.0,1.0,0.76,543.0,1323.0,Spatial/VR
13.0,1.0,1.0,0,1.0,0.95,0.76,543.0,1323.0,Spatial/VR
13.5,1.0,2.0,0,1.0,0.92,0.76,543.0,1323.0,Spatial/VR
14.0,1.0,2.0,0,1.0,0.92,0.76,543.0,1323.0,Spatial/VR
14.5,1.0,2.0,0,1.0,0.95,0.78,543.0,1323.0,Spatial/VR
15.0,1.0,2.0,0,1.0,0.98,0.8,543.0,1323.0,Spatial/VR
15.5,1.0,2.0,0,1.0,0.98,0.8,543.0,1323.0,Spatial/VR
16.0,1.0,2.0,0,1.0,0.98,0.8,543.0,1323.0,Spatial/VR
16.5,1.0,2.0,0,1.0,0.98,0.8,543.0,1323.0,Spatial/VR
17.0,1.0,2.0,0,1.0,0.98,0.8,543.0,1323.0,Spatial/VR
17.5,1.0,2.0,0,1.0,0.98,0.8,543.0,1323.0,Spatial/VR
18.0,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
18.5,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
19.0,1.0,2.0,0,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
19.5,1.0,2.0,0,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
20.0,1.0,2.0,0,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
20.5,1.0,2.0,0,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
21.0,1.0,2.0,0,0.0,0.98,0.78,543.0,1323.0,Spatial/VR
21.5,1.0,2.0,0,0.0,0.95,0.76,543.0,1323.0,Spatial/VR
22.0,1.0,2.0,1,0.0,0.95,0.76,543.0,1323.0,Spatial/VR
22.5,1.0,2.0,1,0.0,0.95,0.76,543.0,1323.0,Spatial/VR
23.0,1.0,2.0,0,0.0,0.92,0.74,543.0,1323.0,Spatial/VR
23.5,1.0,2.0,1,1.0,0.95,0.76,543.0,1323.0,Spatial/VR
24.0,1.0,2.0,1,1.0,0.98,0.78,543.0,1323.0,Spatial/VR
24.5,1.0,2.0,1,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
25.0,1.0,2.0,1,1.0,1.02,0.82,543.0,1323.0,Spatial/VR
25.5,1.0,2.0,1,1.0,1.05,0.84,543.0,1323.0,Spatial/VR
26.0,1.0,2.0,1,1.0,1.1,0.88,543.0,1323.0,Spatial/VR
26.5,1.0,2.0,0,1.0,1.12,0.9,543.0,1323.0,Spatial/VR
27.0,1.0,2.0,1,0.0,1.12,0.9,543.0,1323.0,Spatial/VR
27.5,1.0,2.0,1,0.0,1.12,0.9,543.0,1323.0,Spatial/VR
28.0,1.0,2.0,1,0.0,1.15,0.92,543.0,1323.0,Spatial/VR
28.5,1.0,2.0,0,0.0,1.1,0.88,543.0,1323.0,Spatial/VR
29.0,1.0,2.0,1,0.0,1.08,0.86,543.0,1323.0,Spatial/VR
29.5,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
30.0,1.0,2.0,1,0.0,1.02,0.82,543.0,1323.0,Spatial/VR
30.5,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
31.0,1.0,2.0,1,0.0,0.98,0.78,543.0,1323.0,Spatial/VR
31.5,1.0,2.0,1,0.0,0.98,0.78,543.0,1323.0,Spatial/VR
32.0,1.0,2.0,1,0.0,0.98,0.78,543.0,1323.0,Spatial/VR
32.5,1.0,2.0,1,1.0,1.0,0.8,543.0,1323.0,Spatial/VR
33.0,1.0,2.0,1,1.0,1.02,0.82,543.0,1323.0,Spatial/VR
33.5,1.0,2.0,0,1.0,1.05,0.84,543.0,1323.0,Spatial/VR
34.0,1.0,2.0,0,1.0,1.05,0.84,543.0,1323.0,Spatial/VR
34.5,1.0,2.0,0,1.0,1.05,0.84,543.0,1323.0,Spatial/VR
35.0,1.0,2.0,0,1.0,1.05,0.84,543.0,1323.0,Spatial/VR
35.5,1.0,2.0,0,1.0,1.05,0.84,543.0,1323.0,Spatial/VR
36.0,2.0,2.0,0,1.0,1.08,0.84,543.0,1323.0,Spatial/VR
36.5,2.0,2.0,0,1.0,1.1,0.84,543.0,1323.0,Spatial/VR
37.0,2.0,2.0,0,1.0,1.12,0.84,543.0,1323.0,Spatial/VR
37.5,2.0,2.0,0,1.0,1.12,0.82,543.0,1323.0,Spatial/VR
38.0,2.0,2.0,1,1.0,1.15,0.82,543.0,1323.0,Spatial/VR
38.5,2.0,2.0,1,1.0,1.2,0.84,543.0,1323.0,Spatial/VR
39.0,2.0,2.0,1,1.0,1.25,0.86,543.0,1323.0,Spatial/VR
39.5,2.0,2.0,1,1.0,1.3,0.88,543.0,1323.0,Spatial/VR
40.0,2.0,2.0,1,1.0,1.35,0.9,543.0,1323.0,Spatial/VR
40.5,2.0,2.0,1,1.0,1.4,0.92,543.0,1323.0,Spatial/VR
41.0,2.0,2.0,1,1.0,1.42,0.94,543.0,1323.0,Spatial/VR
41.5,2.0,2.0,1,1.0,1.45,0.96,543.0,1323.0,Spatial/VR
42.0,2.0,2.0,1,1.0,1.48,0.98,543.0,1323.0,Spatial/VR
42.5,1.0,2.0,1,1.0,1.48,1.0,543.0,1323.0,Spatial/VR
43.0,3.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
43.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
44.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
44.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
45.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
45.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
46.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
46.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
47.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
47.5,2.0,2.0,2,1.0,1.55,1.0,543.0,1323.0,Spatial/VR
48.0,2.0,2.0,2,1.0,1.55,1.0,543.0,1323.0,Spatial/VR
48.5,2.0,2.0,2,1.0,1.58,1.0,543.0,1323.0,Spatial/VR
49.0,2.0,2.0,2,1.0,1.6,1.0,543.0,1323.0,Spatial/VR
49.5,2.0,2.0,2,0.0,1.6,0.98,543.0,1323.0,Spatial/VR
50.0,3.0,2.0,2,0.0,1.62,0.96,543.0,1323.0,Spatial/VR
50.5,3.0,2.0,2,0.0,1.65,0.94,543.0,1323.0,Spatial/VR
51.0,2.0,2.0,2,0.0,1.65,0.92,543.0,1323.0,Spatial/VR
51.5,2.0,2.0,2,0.0,1.65,0.9,543.0,1323.0,Spatial/VR
52.0,2.0,2.0,2,0.0,1.65,0.88,543.0,1323.0,Spatial/VR
52.5,2.0,2.0,2,0.0,1.62,0.86,543.0,1323.0,Spatial/VR
53.0,2.0,2.0,2,0.0,1.6,0.84,543.0,1323.0,Spatial/VR
53.5,2.0,2.0,2,0.0,1.58,0.82,543.0,1323.0,Spatial/VR
54.0,1.0,2.0,1,0.0,1.5,0.8,543.0,1323.0,Spatial/VR
54.5,1.0,2.0,1,0.0,1.45,0.8,543.0,1323.0,Spatial/VR
55.0,1.0,2.0,2,0.0,1.4,0.8,543.0,1323.0,Spatial/VR
55.5,1.0,2.0,2,0.0,1.35,0.8,543.0,1323.0,Spatial/VR
56.0,1.0,2.0,2,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
56.5,1.0,2.0,2,0.0,1.3,0.8,543.0,1323.0,Spatial/VR
57.0,1.0,2.0,2,0.0,1.27,0.8,543.0,1323.0,Spatial/VR
57.5,1.0,2.0,2,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
58.0,1.0,2.0,2,0.0,1.23,0.8,543.0,1323.0,Spatial/VR
58.5,2.0,2.0,1,0.0,1.2,0.8,543.0,1323.0,Spatial/VR
59.0,2.0,2.0,1,0.0,1.23,0.8,543.0,1323.0,Spatial/VR
59.5,3.0,2.0,1,0.0,1.27,0.8,543.0,1323.0,Spatial/VR
60.0,3.0,2.0,1,0.0,1.3,0.8,543.0,1323.0,Spatial/VR
60.5,3.0,2.0,1,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
61.0,2.0,2.0,1,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
61.5,2.0,2.0,1,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
62.0,2.0,2.0,1,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
62.5,2.0,2.0,1,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
63.0,2.0,2.0,1,0.0,1.32,0.8,543.0,1323.0,Spatial/VR
63.5,2.0,2.0,2,0.0,1.35,0.8,543.0,1323.0,Spatial/VR
64.0,2.0,2.0,2,0.0,1.38,0.8,543.0,1323.0,Spatial/VR
64.5,2.0,2.0,2,0.0,1.38,0.8,543.0,1323.0,Spatial/VR
65.0,2.0,2.0,2,0.0,1.38,0.8,543.0,1323.0,Spatial/VR
65.5,2.0,2.0,2,0.0,1.38,0.8,543.0,1323.0,Spatial/VR
66.0,2.0,2.0,2,0.0,1.4,0.8,543.0,1323.0,Spatial/VR
66.5,2.0,2.0,2,0.0,1.42,0.8,543.0,1323.0,Spatial/VR
67.0,2.0,2.0,2,1.0,1.48,0.82,543.0,1323.0,Spatial/VR
67.5,2.0,2.0,2,1.0,1.52,0.84,543.0,1323.0,Spatial/VR
68.0,2.0,2.0,1,1.0,1.55,0.86,543.0,1323.0,Spatial/VR
68.5,2.0,2.0,0,1.0,1.52,0.86,543.0,1323.0,Spatial/VR
69.0,2.0,2.0,1,1.0,1.52,0.88,543.0,1323.0,Spatial/VR
69.5,2.0,2.0,1,0.0,1.5,0.88,543.0,1323.0,Spatial/VR
70.0,2.0,2.0,1,0.0,1.48,0.88,543.0,1323.0,Spatial/VR
70.5,2.0,2.0,1,0.0,1.45,0.88,543.0,1323.0,Spatial/VR
71.0,2.0,2.0,1,0.0,1.42,0.88,543.0,1323.0,Spatial/VR
71.5,2.0,2.0,1,0.0,1.4,0.88,543.0,1323.0,Spatial/VR
72.0,2.0,2.0,1,0.0,1.35,0.86,543.0,1323.0,Spatial/VR
72.5,2.0,2.0,1,0.0,1.3,0.84,543.0,1323.0,Spatial/VR
73.0,2.0,2.0,1,0.0,1.27,0.82,543.0,1323.0,Spatial/VR
73.5,2.0,2.0,1,0.0,1.27,0.82,543.0,1323.0,Spatial/VR
74.0,3.0,2.0,1,0.0,1.27,0.8,543.0,1323.0,Spatial/VR
74.5,3.0,2.0,1,0.0,1.3,0.8,543.0,1323.0,Spatial/VR
75.0,3.0,3.0,1,0.0,1.35,0.8,543.0,1323.0,Spatial/VR
75.5,3.0,3.0,1,0.0,1.4,0.8,543.0,1323.0,Spatial/VR
76.0,3.0,3.0,1,0.0,1.45,0.8,543.0,1323.0,Spatial/VR
76.5,3.0,3.0,1,0.0,1.5,0.8,543.0,1323.0,Spatial/VR
77.0,3.0,3.0,1,0.0,1.55,0.8,543.0,1323.0,Spatial/VR
77.5,2.0,3.0,1,1.0,1.6,0.82,543.0,1323.0,Spatial/VR
78.0,2.0,3.0,1,1.0,1.65,0.84,543.0,1323.0,Spatial/VR
78.5,2.0,3.0,1,1.0,1.7,0.86,543.0,1323.0,Spatial/VR
79.0,2.0,3.0,1,0.0,1.7,0.86,543.0,1323.0,Spatial/VR
79.5,2.0,2.0,0,0.0,1.65,0.84,543.0,1323.0,Spatial/VR
80.0,3.0,2.0,0,0.0,1.6,0.82,543.0,1323.0,Spatial/VR
80.5,3.0,2.0,0,0.0,1.55,0.8,543.0,1323.0,Spatial/VR
81.0,2.0,2.0,0,0.0,1.48,0.78,543.0,1323.0,Spatial/VR
81.5,2.0,2.0,0,0.0,1.4,0.76,543.0,1323.0,Spatial/VR
82.0,2.0,2.0,0,0.0,1.32,0.74,543.0,1323.0,Spatial/VR
82.5,2.0,2.0,0,0.0,1.25,0.7,543.0,1323.0,Spatial/VR
83.0,2.0,2.0,0,0.0,1.18,0.66,543.0,1323.0,Spatial/VR
83.5,2.0,2.0,0,0.0,1.1,0.62,543.0,1323.0,Spatial/VR
84.0,2.0,2.0,0,0.0,1.05,0.6,543.0,1323.0,Spatial/VR
84.5,2.0,2.0,0,0.0,1.05,0.6,543.0,1323.0,Spatial/VR
85.0,2.0,2.0,0,0.0,1.02,0.6,543.0,1323.0,Spatial/VR
85.5,2.0,2.0,0,0.0,1.0,0.6,543.0,1323.0,Spatial/VR
86.0,2.0,2.0,1,0.0,1.02,0.62,543.0,1323.0,Spatial/VR
86.5,2.0,2.0,0,0.0,1.02,0.62,543.0,1323.0,Spatial/VR
87.0,2.0,2.0,0,0.0,1.02,0.62,543.0,1323.0,Spatial/VR
87.5,2.0,2.0,0,0.0,1.02,0.62,543.0,1323.0,Spatial/VR
88.0,2.0,2.0,0,0.0,1.02,0.62,543.0,1323.0,Spatial/VR
88.5,2.0,2.0,1,1.0,1.08,0.66,543.0,1323.0,Spatial/VR
89.0,2.0,2.0,1,1.0,1.12,0.7,543.0,1323.0,Spatial/VR
89.5,2.0,2.0,1,1.0,1.18,0.74,543.0,1323.0,Spatial/VR
90.0,1.0,2.0,1,1.0,1.2,0.78,543.0,1323.0,Spatial/VR
90.5,1.0,2.0,1,1.0,1.23,0.82,543.0,1323.0,Spatial/VR
91.0,1.0,2.0,1,1.0,1.23,0.84,543.0,1323.0,Spatial/VR
91.5,1.0,2.0,1,0.0,1.23,0.86,543.0,1323.0,Spatial/VR
92.0,1.0,2.0,1,0.0,1.23,0.88,543.0,1323.0,Spatial/VR
92.5,2.0,2.0,1,0.0,1.25,0.9,543.0,1323.0,Spatial/VR
93.0,1.0,2.0,1,0.0,1.25,0.92,543.0,1323.0,Spatial/VR
93.5,1.0,2.0,1,0.0,1.2,0.9,543.0,1323.0,Spatial/VR
94.0,1.0,2.0,1,0.0,1.15,0.88,543.0,1323.0,Spatial/VR
94.5,1.0,2.0,1,0.0,1.1,0.86,543.0,1323.0,Spatial/VR
95.0,1.0,2.0,0,1.0,1.08,0.84,543.0,1323.0,Spatial/VR
95.5,2.0,2.0,1,1.0,1.1,0.84,543.0,1323.0,Spatial/VR
96.0,2.0,2.0,1,1.0,1.12,0.84,543.0,1323.0,Spatial/VR
96.5,2.0,2.0,1,0.0,1.15,0.84,543.0,1323.0,Spatial/VR
97.0,2.0,2.0,1,0.0,1.18,0.84,543.0,1323.0,Spatial/VR
97.5,1.0,2.0,1,0.0,1.15,0.84,543.0,1323.0,Spatial/VR
98.0,1.0,2.0,1,0.0,1.15,0.84,543.0,1323.0,Spatial/VR
98.5,1.0,2.0,1,1.0,1.18,0.86,543.0,1323.0,Spatial/VR
99.0,1.0,2.0,1,1.0,1.2,0.88,543.0,1323.0,Spatial/VR
99.5,1.0,2.0,1,0.0,1.2,0.88,543.0,1323.0,Spatial/VR
100.0,1.0,2.0,0,1.0,1.2,0.88,543.0,1323.0,Spatial/VR
100.5,1.0,2.0,0,1.0,1.15,0.86,543.0,1323.0,Spatial/VR
101.0,1.0,2.0,0,1.0,1.1,0.84,543.0,1323.0,Spatial/VR
101.5,1.0,2.0,0,1.0,1.08,0.84,543.0,1323.0,Spatial/VR
102.0,1.0,2.0,1,1.0,1.08,0.86,543.0,1323.0,Spatial/VR
102.5,1.0,2.0,1,1.0,1.1,0.88,543.0,1323.0,Spatial/VR
103.0,1.0,2.0,1,0.0,1.1,0.88,543.0,1323.0,Spatial/VR
103.5,1.0,2.0,1,0.0,1.08,0.86,543.0,1323.0,Spatial/VR
104.0,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
104.5,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
105.0,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
105.5,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
106.0,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
106.5,1.0,2.0,1,0.0,1.05,0.84,543.0,1323.0,Spatial/VR
107.0,1.0,2.0,1,0.0,1.02,0.82,543.0,1323.0,Spatial/VR
107.5,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
108.0,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
108.5,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
109.0,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
109.5,1.0,2.0,1,0.0,1.0,0.8,543.0,1323.0,Spatial/VR
110.0,2.0,2.0,1,0.0,1.02,0.8,543.0,1323.0,Spatial/VR
110.5,2.0,2.0,1,0.0,1.05,0.8,543.0,1323.0,Spatial/VR
111.0,2.0,2.0,1,0.0,1.08,0.8,543.0,1323.0,Spatial/VR
111.5,2.0,2.0,1,0.0,1.1,0.8,543.0,1323.0,Spatial/VR
112.0,2.0,2.0,1,0.0,1.12,0.8,543.0,1323.0,Spatial/VR
112.5,2.0,2.0,1,0.0,1.15,0.8,543.0,1323.0,Spatial/VR
113.0,2.0,2.0,1,0.0,1.18,0.8,543.0,1323.0,Spatial/VR
113.5,2.0,2.0,1,0.0,1.2,0.8,543.0,1323.0,Spatial/VR
114.0,2.0,2.0,1,0.0,1.23,0.8,543.0,1323.0,Spatial/VR
114.5,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
115.0,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
115.5,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
116.0,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
116.5,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
117.0,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
117.5,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
118.0,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
118.5,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
119.0,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
119.5,2.0,2.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
120.0,2.0,2.0,0,0.0,1.23,0.78,543.0,1323.0,Spatial/VR
120.5,2.0,2.0,0,0.0,1.2,0.76,543.0,1323.0,Spatial/VR
121.0,2.0,2.0,0,0.0,1.18,0.74,543.0,1323.0,Spatial/VR
121.5,2.0,2.0,0,0.0,1.15,0.72,543.0,1323.0,Spatial/VR
122.0,2.0,2.0,0,0.0,1.12,0.7,543.0,1323.0,Spatial/VR
122.5,2.0,2.0,0,1.0,1.12,0.7,543.0,1323.0,Spatial/VR
123.0,2.0,2.0,0,1.0,1.12,0.7,543.0,1323.0,Spatial/VR
123.5,2.0,2.0,0,1.0,1.12,0.7,543.0,1323.0,Spatial/VR
124.0,2.0,2.0,0,1.0,1.12,0.7,543.0,1323.0,Spatial/VR
124.5,2.0,2.0,0,1.0,1.12,0.7,543.0,1323.0,Spatial/VR
125.0,2.0,2.0,0,1.0,1.15,0.72,543.0,1323.0,Spatial/VR
125.5,2.0,2.0,0,1.0,1.18,0.74,543.0,1323.0,Spatial/VR
126.0,2.0,2.0,0,1.0,1.2,0.76,543.0,1323.0,Spatial/VR
126.5,2.0,2.0,0,1.0,1.23,0.78,543.0,1323.0,Spatial/VR
127.0,2.0,2.0,0,1.0,1.25,0.8,543.0,1323.0,Spatial/VR
127.5,2.0,2.0,1,1.0,1.27,0.82,543.0,1323.0,Spatial/VR
128.0,2.0,2.0,1,1.0,1.3,0.84,543.0,1323.0,Spatial/VR
128.5,2.0,2.0,1,1.0,1.32,0.86,543.0,1323.0,Spatial/VR
129.0,2.0,2.0,0,1.0,1.32,0.86,543.0,1323.0,Spatial/VR
129.5,2.0,2.0,0,1.0,1.32,0.86,543.0,1323.0,Spatial/VR
130.0,2.0,2.0,0,1.0,1.32,0.86,543.0,1323.0,Spatial/VR
130.5,2.0,2.0,1,1.0,1.35,0.88,543.0,1323.0,Spatial/VR
131.0,2.0,2.0,1,1.0,1.38,0.9,543.0,1323.0,Spatial/VR
131.5,2.0,2.0,1,1.0,1.4,0.92,543.0,1323.0,Spatial/VR
132.0,2.0,2.0,1,1.0,1.42,0.94,543.0,1323.0,Spatial/VR
132.5,2.0,2.0,1,1.0,1.42,0.94,543.0,1323.0,Spatial/VR
133.0,2.0,2.0,1,1.0,1.42,0.94,543.0,1323.0,Spatial/VR
133.5,2.0,2.0,1,1.0,1.42,0.94,543.0,1323.0,Spatial/VR
134.0,2.0,2.0,1,1.0,1.45,0.96,543.0,1323.0,Spatial/VR
134.5,2.0,2.0,1,1.0,1.48,0.98,543.0,1323.0,Spatial/VR
135.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
135.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
136.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
136.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
137.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
137.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
138.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
138.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
139.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
139.5,2.0,1.0,1,1.0,1.48,1.0,543.0,1323.0,Spatial/VR
140.0,2.0,2.0,1,2.0,1.5,1.0,543.0,1323.0,Spatial/VR
140.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
141.0,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
141.5,2.0,2.0,1,1.0,1.5,1.0,543.0,1323.0,Spatial/VR
142.0,2.0,1.0,1,0.0,1.45,0.98,543.0,1323.0,Spatial/VR
142.5,2.0,2.0,1,0.0,1.42,0.96,543.0,1323.0,Spatial/VR
143.0,2.0,2.0,1,0.0,1.4,0.94,543.0,1323.0,Spatial/VR
143.5,3.0,2.0,0,0.0,1.38,0.9,543.0,1323.0,Spatial/VR
144.0,3.0,2.0,0,0.0,1.35,0.86,543.0,1323.0,Spatial/VR
144.5,3.0,2.0,0,0.0,1.35,0.82,543.0,1323.0,Spatial/VR
145.0,3.0,2.0,0,0.0,1.3,0.78,543.0,1323.0,Spatial/VR
145.5,3.0,1.0,0,0.0,1.25,0.74,543.0,1323.0,Spatial/VR
146.0,3.0,1.0,0,0.0,1.2,0.7,543.0,1323.0,Spatial/VR
146.5,3.0,1.0,1,0.0,1.18,0.68,543.0,1323.0,Spatial/VR
147.0,3.0,1.0,1,0.0,1.2,0.68,543.0,1323.0,Spatial/VR
147.5,3.0,1.0,1,1.0,1.23,0.7,543.0,1323.0,Spatial/VR
148.0,3.0,1.0,1,1.0,1.25,0.72,543.0,1323.0,Spatial/VR
148.5,3.0,1.0,1,0.0,1.25,0.74,543.0,1323.0,Spatial/VR
149.0,3.0,1.0,1,0.0,1.25,0.76,543.0,1323.0,Spatial/VR
149.5,3.0,1.0,1,0.0,1.25,0.78,543.0,1323.0,Spatial/VR
150.0,3.0,1.0,1,0.0,1.25,0.8,543.0,1323.0,Spatial/VR
150.5,3.0,1.0,1,0.0,1.27,0.82,543.0,1323.0,Spatial/VR
151.0,3.0,1.0,1,0.0,1.3,0.84,543.0,1323.0,Spatial/VR
151.5,2.0,1.0,1,0.0,1.27,0.84,543.0,1323.0,Spatial/VR
152.0,3.0,1.0,1,1.0,1.3,0.86,543.0,1323.0,Spatial/VR
152.5,3.0,1.0,1,1.0,1.3,0.86,543.0,1323.0,Spatial/VR
153.0,2.0,1.0,1,1.0,1.27,0.86,543.0,1323.0,Spatial/VR
153.5,2.0,1.0,1,1.0,1.27,0.88,543.0,1323.0,Spatial/VR
154.0,2.0,1.0,1,1.0,1.27,0.9,543.0,1323.0,Spatial/VR
154.5,3.0,1.0,1,1.0,1.3,0.92,543.0,1323.0,Spatial/VR
155.0,3.0,1.0,1,1.0,1.32,0.94,543.0,1323.0,Spatial/VR
155.5,3.0,1.0,1,1.0,1.35,0.96,543.0,1323.0,Spatial/VR
156.0,2.0,1.0,1,1.0,1.35,0.98,543.0,1323.0,Spatial/VR
156.5,2.0,1.0,1,1.0,1.38,1.0,543.0,1323.0,Spatial/VR
157.0,2.0,1.0,0,1.0,1.32,0.98,543.0,1323.0,Spatial/VR
157.5,2.0,1.0,0,1.0,1.27,0.96,543.0,1323.0,Spatial/VR
158.0,2.0,1.0,0,1.0,1.25,0.94,543.0,1323.0,Spatial/VR
158.5,2.0,1.0,0,1.0,1.23,0.92,543.0,1323.0,Spatial/VR
159.0,2.0,1.0,0,1.0,1.2,0.9,543.0,1323.0,Spatial/VR
159.5,2.0,1.0,0,2.0,1.18,0.88,543.0,1323.0,Spatial/VR
160.0,2.0,1.0,1,2.0,1.18,0.88,543.0,1323.0,Spatial/VR
160.5,2.0,1.0,1,2.0,1.18,0.88,543.0,1323.0,Spatial/VR
161.0,2.0,1.0,1,1.0,1.18,0.88,543.0,1323.0,Spatial/VR
161.5,2.0,1.0,1,1.0,1.18,0.88,543.0,1323.0,Spatial/VR
